"Card Name","Card Description","Labels","Members","Due Date","List Name"
"⚙️ Setup: Setup Rank Tracking (DataForSEO)","⏱️ DURASI: 1 jam
⚠️ PRIORITY: 🟡 HIGH

📌 SETUP TASK
Setup Rank Tracking (DataForSEO)

📝 DESKRIPSI
Setup automated rank tracking untuk top 20 target keywords menggunakan DataForSEO API.

📝 AI PROMPT:

```
Kamu adalah SEO Implementer Expert. Bantu setup Setup Rank Tracking (DataForSEO) untuk website https://www.sesoris.com.

Website: https://www.sesoris.com
Tech Stack: Next.js 16, Vercel hosting
Task: Setup Rank Tracking (DataForSEO)

Berikan:
1. Step-by-step guide lengkap
2. Best practices untuk Next.js site
3. Common mistakes yang harus dihindari
4. Cara validasi setup sudah benar
```

🛠️ TOOLS: DataForSEO API

✅ CHECKLIST
☐ Check requirements
☐ Implement setup
☐ Validate installation
☐ Document configuration
","Monitoring","","2026-03-13","Inbox"
"⚙️ Setup: Audit & Optimize Sitemap","⏱️ DURASI: 1 jam
⚠️ PRIORITY: 🔴 CRITICAL

📌 SETUP TASK
Audit & Optimize Sitemap

📝 DESKRIPSI
Review sitemap.ts di Next.js. Pastikan semua halaman penting ter-include. Submit ke GSC & Bing.

📝 AI PROMPT:

```
Kamu adalah SEO Implementer Expert. Bantu setup Audit & Optimize Sitemap untuk website https://www.sesoris.com.

Website: https://www.sesoris.com
Tech Stack: Next.js 16, Vercel hosting
Task: Audit & Optimize Sitemap

Berikan:
1. Step-by-step guide lengkap
2. Best practices untuk Next.js site
3. Common mistakes yang harus dihindari
4. Cara validasi setup sudah benar
```

🛠️ TOOLS: GSC, Next.js

✅ CHECKLIST
☐ Check requirements
☐ Implement setup
☐ Validate installation
☐ Document configuration
","Technical","","2026-03-14","Inbox"
"⚙️ Setup: Audit robots.txt Configuration","⏱️ DURASI: 30 menit
⚠️ PRIORITY: 🟡 HIGH

📌 SETUP TASK
Audit robots.txt Configuration

📝 DESKRIPSI
Review robots.ts config. Pastikan tidak blocking halaman penting. Verify di GSC.

📝 AI PROMPT:

```
Kamu adalah SEO Implementer Expert. Bantu setup Audit robots.txt Configuration untuk website https://www.sesoris.com.

Website: https://www.sesoris.com
Tech Stack: Next.js 16, Vercel hosting
Task: Audit robots.txt Configuration

Berikan:
1. Step-by-step guide lengkap
2. Best practices untuk Next.js site
3. Common mistakes yang harus dihindari
4. Cara validasi setup sudah benar
```

🛠️ TOOLS: GSC

✅ CHECKLIST
☐ Check requirements
☐ Implement setup
☐ Validate installation
☐ Document configuration
","Technical","","2026-03-16","Inbox"
"⚙️ Setup: Verify HTTPS & Domain Version","⏱️ DURASI: 30 menit
⚠️ PRIORITY: 🔴 CRITICAL

📌 SETUP TASK
Verify HTTPS & Domain Version

📝 DESKRIPSI
Pastikan HTTPS enforce. Redirect www ke non-www (atau sebaliknya). Check SSL certificate.

📝 AI PROMPT:

```
Kamu adalah SEO Implementer Expert. Bantu setup Verify HTTPS & Domain Version untuk website https://www.sesoris.com.

Website: https://www.sesoris.com
Tech Stack: Next.js 16, Vercel hosting
Task: Verify HTTPS & Domain Version

Berikan:
1. Step-by-step guide lengkap
2. Best practices untuk Next.js site
3. Common mistakes yang harus dihindari
4. Cara validasi setup sudah benar
```

🛠️ TOOLS: SSL Checker

✅ CHECKLIST
☐ Check requirements
☐ Implement setup
☐ Validate installation
☐ Document configuration
","Technical","","2026-03-17","Inbox"
"⚙️ Setup: Setup Seedbacklink Account","⏱️ DURASI: 30 menit
⚠️ PRIORITY: 🟡 HIGH

📌 SETUP TASK
Setup Seedbacklink Account

📝 DESKRIPSI
Daftar dan setup akun Seedbacklink untuk kampanye paid backlink.

📝 AI PROMPT:

```
Kamu adalah SEO Implementer Expert. Bantu setup Setup Seedbacklink Account untuk website https://www.sesoris.com.

Website: https://www.sesoris.com
Tech Stack: Next.js 16, Vercel hosting
Task: Setup Seedbacklink Account

Berikan:
1. Step-by-step guide lengkap
2. Best practices untuk Next.js site
3. Common mistakes yang harus dihindari
4. Cara validasi setup sudah benar
```

🛠️ TOOLS: Seedbacklink

✅ CHECKLIST
☐ Check requirements
☐ Implement setup
☐ Validate installation
☐ Document configuration
","Offpage","","2026-03-18","Inbox"
"⚙️ Setup: Register Platform Free Backlink","⏱️ DURASI: 2 jam
⚠️ PRIORITY: 🟡 HIGH

📌 SETUP TASK
Register Platform Free Backlink

📝 DESKRIPSI
Register akun di Kumparan, Kompasiana, IDN Times Community, LinkedIn, Medium untuk free backlink campaign.

📝 AI PROMPT:

```
Kamu adalah SEO Implementer Expert. Bantu setup Register Platform Free Backlink untuk website https://www.sesoris.com.

Website: https://www.sesoris.com
Tech Stack: Next.js 16, Vercel hosting
Task: Register Platform Free Backlink

Berikan:
1. Step-by-step guide lengkap
2. Best practices untuk Next.js site
3. Common mistakes yang harus dihindari
4. Cara validasi setup sudah benar
```

🛠️ TOOLS: Web Browser

✅ CHECKLIST
☐ Check requirements
☐ Implement setup
☐ Validate installation
☐ Document configuration
","Offpage","","2026-03-20","Inbox"
"🔧 Implement Product Schema (JSON-LD)","⏱️ DURASI: 3-4 jam
⚠️ PRIORITY: 🔴 CRITICAL

📌 OBJECTIVE
Implement Product Schema (JSON-LD)

📊 ISSUE
Product pages belum punya Product schema

🎯 TARGET
Semua 12 product pages punya Product schema

📝 AI PROMPT:

```
Kamu adalah Technical SEO Expert dengan keahlian Next.js. Bantu saya Implement Product Schema (JSON-LD) untuk https://www.sesoris.com.

Website: https://www.sesoris.com
Tech Stack: Next.js 16, React 19, Tailwind CSS 4
Issue: Product pages belum punya Product schema
Target: Semua 12 product pages punya Product schema

Berikan:
1. Step-by-step implementation untuk Next.js
2. Code snippets yang siap pakai
3. Cara testing & validasi
4. Best practices
```

🛠️ TOOLS: Next.js, Schema.org

✅ CHECKLIST
☐ Audit current state
☐ Implement fixes/improvements
☐ Test di staging
☐ Deploy ke production
☐ Verify di GSC / Rich Results Test
","Technical","","2026-03-16","Inbox"
"🔧 Implement BlogPosting Schema","⏱️ DURASI: 2-3 jam
⚠️ PRIORITY: 🟡 HIGH

📌 OBJECTIVE
Implement BlogPosting Schema

📊 ISSUE
Blog posts belum punya Article/BlogPosting schema

🎯 TARGET
Semua blog posts punya schema

📝 AI PROMPT:

```
Kamu adalah Technical SEO Expert dengan keahlian Next.js. Bantu saya Implement BlogPosting Schema untuk https://www.sesoris.com.

Website: https://www.sesoris.com
Tech Stack: Next.js 16, React 19, Tailwind CSS 4
Issue: Blog posts belum punya Article/BlogPosting schema
Target: Semua blog posts punya schema

Berikan:
1. Step-by-step implementation untuk Next.js
2. Code snippets yang siap pakai
3. Cara testing & validasi
4. Best practices
```

🛠️ TOOLS: Next.js, Schema.org

✅ CHECKLIST
☐ Audit current state
☐ Implement fixes/improvements
☐ Test di staging
☐ Deploy ke production
☐ Verify di GSC / Rich Results Test
","Technical","","2026-03-18","Inbox"
"🔧 Implement FAQPage Schema","⏱️ DURASI: 1-2 jam
⚠️ PRIORITY: 🟡 HIGH

📌 OBJECTIVE
Implement FAQPage Schema

📊 ISSUE
FAQ page belum punya FAQPage schema

🎯 TARGET
FAQ page tampil rich result

📝 AI PROMPT:

```
Kamu adalah Technical SEO Expert dengan keahlian Next.js. Bantu saya Implement FAQPage Schema untuk https://www.sesoris.com.

Website: https://www.sesoris.com
Tech Stack: Next.js 16, React 19, Tailwind CSS 4
Issue: FAQ page belum punya FAQPage schema
Target: FAQ page tampil rich result

Berikan:
1. Step-by-step implementation untuk Next.js
2. Code snippets yang siap pakai
3. Cara testing & validasi
4. Best practices
```

🛠️ TOOLS: Next.js, Rich Results Test

✅ CHECKLIST
☐ Audit current state
☐ Implement fixes/improvements
☐ Test di staging
☐ Deploy ke production
☐ Verify di GSC / Rich Results Test
","Technical","","2026-03-23","Inbox"
"🔧 Implement BreadcrumbList Schema","⏱️ DURASI: 2 jam
⚠️ PRIORITY: 🟢 MEDIUM

📌 OBJECTIVE
Implement BreadcrumbList Schema

📊 ISSUE
Belum ada breadcrumb schema

🎯 TARGET
Semua halaman punya breadcrumb schema

📝 AI PROMPT:

```
Kamu adalah Technical SEO Expert dengan keahlian Next.js. Bantu saya Implement BreadcrumbList Schema untuk https://www.sesoris.com.

Website: https://www.sesoris.com
Tech Stack: Next.js 16, React 19, Tailwind CSS 4
Issue: Belum ada breadcrumb schema
Target: Semua halaman punya breadcrumb schema

Berikan:
1. Step-by-step implementation untuk Next.js
2. Code snippets yang siap pakai
3. Cara testing & validasi
4. Best practices
```

🛠️ TOOLS: Next.js, Schema.org

✅ CHECKLIST
☐ Audit current state
☐ Implement fixes/improvements
☐ Test di staging
☐ Deploy ke production
☐ Verify di GSC / Rich Results Test
","Technical","","2026-03-25","Inbox"
"🔧 Optimize Core Web Vitals (LCP, CLS, INP)","⏱️ DURASI: 4-5 jam
⚠️ PRIORITY: 🟡 HIGH

📌 OBJECTIVE
Optimize Core Web Vitals (LCP, CLS, INP)

📊 ISSUE
Perlu audit performance

🎯 TARGET
Score 90+ di PageSpeed Insights

📝 AI PROMPT:

```
Kamu adalah Technical SEO Expert dengan keahlian Next.js. Bantu saya Optimize Core Web Vitals (LCP, CLS, INP) untuk https://www.sesoris.com.

Website: https://www.sesoris.com
Tech Stack: Next.js 16, React 19, Tailwind CSS 4
Issue: Perlu audit performance
Target: Score 90+ di PageSpeed Insights

Berikan:
1. Step-by-step implementation untuk Next.js
2. Code snippets yang siap pakai
3. Cara testing & validasi
4. Best practices
```

🛠️ TOOLS: PageSpeed Insights, Lighthouse

✅ CHECKLIST
☐ Audit current state
☐ Implement fixes/improvements
☐ Test di staging
☐ Deploy ke production
☐ Verify di GSC / Rich Results Test
","Technical","","2026-03-27","Inbox"
"🔧 Optimize Image Alt Text & Compression","⏱️ DURASI: 3-4 jam
⚠️ PRIORITY: 🟢 MEDIUM

📌 OBJECTIVE
Optimize Image Alt Text & Compression

📊 ISSUE
Images perlu alt text & optimization

🎯 TARGET
Semua images punya alt text deskriptif

📝 AI PROMPT:

```
Kamu adalah Technical SEO Expert dengan keahlian Next.js. Bantu saya Optimize Image Alt Text & Compression untuk https://www.sesoris.com.

Website: https://www.sesoris.com
Tech Stack: Next.js 16, React 19, Tailwind CSS 4
Issue: Images perlu alt text & optimization
Target: Semua images punya alt text deskriptif

Berikan:
1. Step-by-step implementation untuk Next.js
2. Code snippets yang siap pakai
3. Cara testing & validasi
4. Best practices
```

🛠️ TOOLS: Next.js Image, Sharp

✅ CHECKLIST
☐ Audit current state
☐ Implement fixes/improvements
☐ Test di staging
☐ Deploy ke production
☐ Verify di GSC / Rich Results Test
","Technical","","2026-03-30","Inbox"
"🔧 Internal Linking Audit & Improvement","⏱️ DURASI: 3-4 jam
⚠️ PRIORITY: 🟢 MEDIUM

📌 OBJECTIVE
Internal Linking Audit & Improvement

📊 ISSUE
Internal linking structure perlu perbaikan

🎯 TARGET
Minimal 5 internal links per halaman

📝 AI PROMPT:

```
Kamu adalah Technical SEO Expert dengan keahlian Next.js. Bantu saya Internal Linking Audit & Improvement untuk https://www.sesoris.com.

Website: https://www.sesoris.com
Tech Stack: Next.js 16, React 19, Tailwind CSS 4
Issue: Internal linking structure perlu perbaikan
Target: Minimal 5 internal links per halaman

Berikan:
1. Step-by-step implementation untuk Next.js
2. Code snippets yang siap pakai
3. Cara testing & validasi
4. Best practices
```

🛠️ TOOLS: Screaming Frog, Manual

✅ CHECKLIST
☐ Audit current state
☐ Implement fixes/improvements
☐ Test di staging
☐ Deploy ke production
☐ Verify di GSC / Rich Results Test
","Technical","","2026-04-01","Inbox"
"🔧 Implement Canonical Tags","⏱️ DURASI: 1-2 jam
⚠️ PRIORITY: 🟡 HIGH

📌 OBJECTIVE
Implement Canonical Tags

📊 ISSUE
Perlu canonical tags untuk avoid duplicate

🎯 TARGET
Semua halaman punya canonical tag

📝 AI PROMPT:

```
Kamu adalah Technical SEO Expert dengan keahlian Next.js. Bantu saya Implement Canonical Tags untuk https://www.sesoris.com.

Website: https://www.sesoris.com
Tech Stack: Next.js 16, React 19, Tailwind CSS 4
Issue: Perlu canonical tags untuk avoid duplicate
Target: Semua halaman punya canonical tag

Berikan:
1. Step-by-step implementation untuk Next.js
2. Code snippets yang siap pakai
3. Cara testing & validasi
4. Best practices
```

🛠️ TOOLS: Next.js Metadata API

✅ CHECKLIST
☐ Audit current state
☐ Implement fixes/improvements
☐ Test di staging
☐ Deploy ke production
☐ Verify di GSC / Rich Results Test
","Technical","","2026-04-04","Inbox"
"🔧 Optimize Meta Titles & Descriptions","⏱️ DURASI: 3-4 jam
⚠️ PRIORITY: 🟡 HIGH

📌 OBJECTIVE
Optimize Meta Titles & Descriptions

📊 ISSUE
Beberapa halaman perlu optimasi meta

🎯 TARGET
Semua halaman punya unique, optimized meta

📝 AI PROMPT:

```
Kamu adalah Technical SEO Expert dengan keahlian Next.js. Bantu saya Optimize Meta Titles & Descriptions untuk https://www.sesoris.com.

Website: https://www.sesoris.com
Tech Stack: Next.js 16, React 19, Tailwind CSS 4
Issue: Beberapa halaman perlu optimasi meta
Target: Semua halaman punya unique, optimized meta

Berikan:
1. Step-by-step implementation untuk Next.js
2. Code snippets yang siap pakai
3. Cara testing & validasi
4. Best practices
```

🛠️ TOOLS: Next.js Metadata API

✅ CHECKLIST
☐ Audit current state
☐ Implement fixes/improvements
☐ Test di staging
☐ Deploy ke production
☐ Verify di GSC / Rich Results Test
","Technical","","2026-04-07","Inbox"
"🔧 Mobile Usability Audit","⏱️ DURASI: 2-3 jam
⚠️ PRIORITY: 🟢 MEDIUM

📌 OBJECTIVE
Mobile Usability Audit

📊 ISSUE
Perlu verifikasi mobile experience

🎯 TARGET
Mobile-friendly semua halaman

📝 AI PROMPT:

```
Kamu adalah Technical SEO Expert dengan keahlian Next.js. Bantu saya Mobile Usability Audit untuk https://www.sesoris.com.

Website: https://www.sesoris.com
Tech Stack: Next.js 16, React 19, Tailwind CSS 4
Issue: Perlu verifikasi mobile experience
Target: Mobile-friendly semua halaman

Berikan:
1. Step-by-step implementation untuk Next.js
2. Code snippets yang siap pakai
3. Cara testing & validasi
4. Best practices
```

🛠️ TOOLS: GSC Mobile Report, Chrome DevTools

✅ CHECKLIST
☐ Audit current state
☐ Implement fixes/improvements
☐ Test di staging
☐ Deploy ke production
☐ Verify di GSC / Rich Results Test
","Technical","","2026-04-09","Inbox"
"🔄 UPD #1: Homepage","⏱️ DURASI: 1.5-2 jam

📌 UPGRADE EXISTING CONTENT #1
URL: https://www.sesoris.com/
Nama: Homepage
Issues: Perlu content expansion, keyword optimization

📝 AI PROMPT:

```
Kamu adalah On-Page SEO Specialist. Optimasi halaman existing untuk Sesoris.

URL: https://www.sesoris.com/
Halaman: Homepage
Known Issues: Perlu content expansion, keyword optimization
Tech Stack: Next.js 16, React 19

⚠️ PENTING: Buka URL tersebut dan analisis sebelum memberikan rekomendasi!

STEP 1 - ANALISIS:
• Cek current title, meta, H1
• Cek struktur heading
• Cek word count
• Cek internal/external links
• Cek images dan alt text

STEP 2 - OPTIMASI:
1. New Title Tag (50-60 char, keyword-optimized)
2. New Meta Description (150-160 char, dengan CTA)
3. H1 Recommendation
4. Content expansion (tambah 500-1000 kata)
5. Internal linking opportunities
6. Alt text untuk semua gambar
7. Schema markup suggestions

Client: Sesoris - ""Hidup Lebih Teratur""
Produk: Home Organizer, Kitchen Storage, Bags & Pouches, Tools & Gadgets, Office Desk Organizer, Outdoor Travel Gear
```

✅ CHECKLIST
☐ Audit current state
☐ Optimize title tag
☐ Optimize meta description
☐ Fix H1 structure
☐ Expand content
☐ Add/fix alt text
☐ Improve internal linking
☐ Add schema markup
☐ Deploy & verify
☐ Submit ke GSC
","Onpage","","2026-03-23","Inbox"
"🔄 UPD #2: About Us","⏱️ DURASI: 1.5-2 jam

📌 UPGRADE EXISTING CONTENT #2
URL: https://www.sesoris.com/about
Nama: About Us
Issues: Perlu LocalBusiness schema, expand brand story

📝 AI PROMPT:

```
Kamu adalah On-Page SEO Specialist. Optimasi halaman existing untuk Sesoris.

URL: https://www.sesoris.com/about
Halaman: About Us
Known Issues: Perlu LocalBusiness schema, expand brand story
Tech Stack: Next.js 16, React 19

⚠️ PENTING: Buka URL tersebut dan analisis sebelum memberikan rekomendasi!

STEP 1 - ANALISIS:
• Cek current title, meta, H1
• Cek struktur heading
• Cek word count
• Cek internal/external links
• Cek images dan alt text

STEP 2 - OPTIMASI:
1. New Title Tag (50-60 char, keyword-optimized)
2. New Meta Description (150-160 char, dengan CTA)
3. H1 Recommendation
4. Content expansion (tambah 500-1000 kata)
5. Internal linking opportunities
6. Alt text untuk semua gambar
7. Schema markup suggestions

Client: Sesoris - ""Hidup Lebih Teratur""
Produk: Home Organizer, Kitchen Storage, Bags & Pouches, Tools & Gadgets, Office Desk Organizer, Outdoor Travel Gear
```

✅ CHECKLIST
☐ Audit current state
☐ Optimize title tag
☐ Optimize meta description
☐ Fix H1 structure
☐ Expand content
☐ Add/fix alt text
☐ Improve internal linking
☐ Add schema markup
☐ Deploy & verify
☐ Submit ke GSC
","Onpage","","2026-03-28","Inbox"
